Fecha;Ordenes;Fecha ISO;Codigo Tienda;Tienda;Promocion;Año;Mes;Dia del mes;Dia semana;Semana iso;Fin de semana;Hora
44562;0;2022-01-01T00:00:00;110;Tottus Colina;No aplica;2022;1;1;6;52;Fin de semana;0
44562.04167;0;2022-01-01T01:00:00;110;Tottus Colina;No aplica;2022;1;1;6;52;Fin de semana;0.041666667
44562.08333;0;2022-01-01T02:00:00;110;Tottus Colina;No aplica;2022;1;1;6;52;Fin de semana;0.083333333
44562.125;0;2022-01-01T03:00:00;110;Tottus Colina;No aplica;2022;1;1;6;52;Fin de semana;0.125
44562.16667;0;2022-01-01T04:00:00;110;Tottus Colina;No aplica;2022;1;1;6;52;Fin de semana;0.166666667
44562.20833;0;2022-01-01T05:00:00;110;Tottus Colina;No aplica;2022;1;1;6;52;Fin de semana;0.208333333
44562.25;0;2022-01-01T06:00:00;110;Tottus Colina;No aplica;2022;1;1;6;52;Fin de semana;0.25
44562.29167;0;2022-01-01T07:00:00;110;Tottus Colina;No aplica;2022;1;1;6;52;Fin de semana;0.291666667
44562.33333;0;2022-01-01T08:00:00;110;Tottus Colina;No aplica;2022;1;1;6;52;Fin de semana;0.333333333
44562.375;0;2022-01-01T09:00:00;110;Tottus Colina;No aplica;2022;1;1;6;52;Fin de semana;0.375
44562.41667;0;2022-01-01T10:00:00;110;Tottus Colina;No aplica;2022;1;1;6;52;Fin de semana;0.416666667
44562.45833;0;2022-01-01T11:00:00;110;Tottus Colina;No aplica;2022;1;1;6;52;Fin de semana;0.458333333
44562.5;0;2022-01-01T12:00:00;110;Tottus Colina;No aplica;2022;1;1;6;52;Fin de semana;0.5
44562.54167;0;2022-01-01T13:00:00;110;Tottus Colina;No aplica;2022;1;1;6;52;Fin de semana;0.541666667
44562.58333;0;2022-01-01T14:00:00;110;Tottus Colina;No aplica;2022;1;1;6;52;Fin de semana;0.583333333
44562.625;0;2022-01-01T15:00:00;110;Tottus Colina;No aplica;2022;1;1;6;52;Fin de semana;0.625
44562.66667;0;2022-01-01T16:00:00;110;Tottus Colina;No aplica;2022;1;1;6;52;Fin de semana;0.666666667
44562.70833;0;2022-01-01T17:00:00;110;Tottus Colina;No aplica;2022;1;1;6;52;Fin de semana;0.708333333
44562.75;0;2022-01-01T18:00:00;110;Tottus Colina;No aplica;2022;1;1;6;52;Fin de semana;0.75
44562.79167;0;2022-01-01T19:00:00;110;Tottus Colina;No aplica;2022;1;1;6;52;Fin de semana;0.791666667
44562.83333;0;2022-01-01T20:00:00;110;Tottus Colina;No aplica;2022;1;1;6;52;Fin de semana;0.833333333
44562.875;0;2022-01-01T21:00:00;110;Tottus Colina;No aplica;2022;1;1;6;52;Fin de semana;0.875
44562.91667;0;2022-01-01T22:00:00;110;Tottus Colina;No aplica;2022;1;1;6;52;Fin de semana;0.916666667
44562.95833;0;2022-01-01T23:00:00;110;Tottus Colina;No aplica;2022;1;1;6;52;Fin de semana;0.958333333
44563;0;2022-01-02T00:00:00;110;Tottus Colina;No aplica;2022;1;2;7;52;Fin de semana;0
44563.04167;0;2022-01-02T01:00:00;110;Tottus Colina;No aplica;2022;1;2;7;52;Fin de semana;0.041666667
44563.08333;0;2022-01-02T02:00:00;110;Tottus Colina;No aplica;2022;1;2;7;52;Fin de semana;0.083333333
44563.125;0;2022-01-02T03:00:00;110;Tottus Colina;No aplica;2022;1;2;7;52;Fin de semana;0.125
44563.16667;0;2022-01-02T04:00:00;110;Tottus Colina;No aplica;2022;1;2;7;52;Fin de semana;0.166666667
44563.20833;0;2022-01-02T05:00:00;110;Tottus Colina;No aplica;2022;1;2;7;52;Fin de semana;0.208333333
44563.25;0;2022-01-02T06:00:00;110;Tottus Colina;No aplica;2022;1;2;7;52;Fin de semana;0.25
44563.29167;0;2022-01-02T07:00:00;110;Tottus Colina;No aplica;2022;1;2;7;52;Fin de semana;0.291666667
44563.33333;0;2022-01-02T08:00:00;110;Tottus Colina;No aplica;2022;1;2;7;52;Fin de semana;0.333333333
44563.375;0;2022-01-02T09:00:00;110;Tottus Colina;No aplica;2022;1;2;7;52;Fin de semana;0.375
44563.41667;0;2022-01-02T10:00:00;110;Tottus Colina;No aplica;2022;1;2;7;52;Fin de semana;0.416666667
44563.45833;0;2022-01-02T11:00:00;110;Tottus Colina;No aplica;2022;1;2;7;52;Fin de semana;0.458333333
44563.5;0;2022-01-02T12:00:00;110;Tottus Colina;No aplica;2022;1;2;7;52;Fin de semana;0.5
44563.54167;0;2022-01-02T13:00:00;110;Tottus Colina;No aplica;2022;1;2;7;52;Fin de semana;0.541666667
44563.58333;0;2022-01-02T14:00:00;110;Tottus Colina;No aplica;2022;1;2;7;52;Fin de semana;0.583333333
44563.625;0;2022-01-02T15:00:00;110;Tottus Colina;No aplica;2022;1;2;7;52;Fin de semana;0.625
44563.66667;0;2022-01-02T16:00:00;110;Tottus Colina;No aplica;2022;1;2;7;52;Fin de semana;0.666666667
44563.70833;0;2022-01-02T17:00:00;110;Tottus Colina;No aplica;2022;1;2;7;52;Fin de semana;0.708333333
44563.75;0;2022-01-02T18:00:00;110;Tottus Colina;No aplica;2022;1;2;7;52;Fin de semana;0.75
44563.79167;0;2022-01-02T19:00:00;110;Tottus Colina;No aplica;2022;1;2;7;52;Fin de semana;0.791666667
44563.83333;0;2022-01-02T20:00:00;110;Tottus Colina;No aplica;2022;1;2;7;52;Fin de semana;0.833333333
44563.875;0;2022-01-02T21:00:00;110;Tottus Colina;No aplica;2022;1;2;7;52;Fin de semana;0.875
44563.91667;0;2022-01-02T22:00:00;110;Tottus Colina;No aplica;2022;1;2;7;52;Fin de semana;0.916666667
44563.95833;0;2022-01-02T23:00:00;110;Tottus Colina;No aplica;2022;1;2;7;52;Fin de semana;0.958333333
44564;0;2022-01-03T00:00:00;110;Tottus Colina;No aplica;2022;1;3;1;1;Semana;0
44564.04167;0;2022-01-03T01:00:00;110;Tottus Colina;No aplica;2022;1;3;1;1;Semana;0.041666667
44564.08333;0;2022-01-03T02:00:00;110;Tottus Colina;No aplica;2022;1;3;1;1;Semana;0.083333333
44564.125;0;2022-01-03T03:00:00;110;Tottus Colina;No aplica;2022;1;3;1;1;Semana;0.125
44564.16667;0;2022-01-03T04:00:00;110;Tottus Colina;No aplica;2022;1;3;1;1;Semana;0.166666667
44564.20833;0;2022-01-03T05:00:00;110;Tottus Colina;No aplica;2022;1;3;1;1;Semana;0.208333333
44564.25;0;2022-01-03T06:00:00;110;Tottus Colina;No aplica;2022;1;3;1;1;Semana;0.25
