Tienda,Latitud,Longitud,Region,Comuna
Tottus Buin,-33.731483,-70.734573,Región Metropolitana de Santiago,Buin
Tottus Talagante Cordillera,-33.657052,-70.912361,Región Metropolitana de Santiago,Talagante
Tottus Peñaflor,-33.606708,-70.899682,Región Metropolitana de Santiago,Peñaflor
Tottus Padre Hurtado,-33.571784,-70.817816,Región Metropolitana de Santiago,Padre Hurtado
Tottus Pajaritos,-33.5057263,-70.7576336,Región Metropolitana de Santiago,Maipú
Tottus Alameda,-33.452799,-70.682487,Región Metropolitana de Santiago,Estación central
Tottus El Bosque,-33.5531543,-70.6764369,Región Metropolitana de Santiago,El Bosque
Tottus Puente Alto,-33.5967314,-70.5767757,Región Metropolitana de Santiago,Puente Alto
Tottus Plaza Tobalaba,-33.569423,-70.557775,Región Metropolitana de Santiago,Puente Alto
Tottus La Florida,-33.52002,-70.594538,Región Metropolitana de Santiago,La Florida
Tottus Walker Martinez,-33.5215517,-70.5579154,Región Metropolitana de Santiago,La Florida
Tottus Quilin,-33.4993301,-70.5550976,Región Metropolitana de Santiago,Peñalolén
Tottus Vicuña Mackenna,-33.450535,-70.632157,Región Metropolitana de Santiago,Ñuñoa
Tottus Nataniel,-33.453787,-70.652032,Región Metropolitana de Santiago,Santiago
Tottus Catedral,-33.436458,-70.662383,Región Metropolitana de Santiago,Santiago
Tottus Factoria,-33.441525,-70.626057,Región Metropolitana de Santiago,Providencia
Tottus Plaza Egaña,-33.452725,-70.569568,Región Metropolitana de Santiago,La Reina
Tottus Vivaceta,-33.418708,-70.663748,Región Metropolitana de Santiago,Independencia
Tottus Los Dominicos,-33.41603,-70.539863,Región Metropolitana de Santiago,Las Condes
Tottus Vitacura I,-33.383344,-70.549669,Región Metropolitana de Santiago,Vitacura
Tottus Vitacura Alderete,-33.387054,-70.56551,Región Metropolitana de Santiago,Vitacura
Tottus Huechuraba,-33.354089,-70.678472,Región Metropolitana de Santiago,Huechuraba
Tottus Piedra Roja,-33.278901,-70.628223,Región Metropolitana de Santiago,Colina
Tottus Colina,-33.2043964,-70.6762242,Región Metropolitana de Santiago,Colina
Tottus Quilpue,-33.0450299,-71.4000793,Región de Valparaíso,Quilpué
Tottus Reñaca,-32.9720141,-71.5325032,Región de Valparaíso,Viña del mar
Tottus Maitencillo,-32.634158,-71.4241927,Región de Valparaíso,Puchuncaví
Tottus Coquimbo,-29.967172,-71.2638291,Región de Coquimbo,Coquimbo
Tottus La Serena,-29.9253601,-71.2576665,Región de Coquimbo,La Serena
Tottus Antofagasta Mall,-23.645213,-70.4026284,Región de Antofagasta,Antofagasta
Tottus Antofagasta Norte,-23.5655354,-70.3905129,Región de Antofagasta,Antofagasta
Tottus Curico Norte,-34.9764873,-71.2393703,Región del Maule,Curicó
Tottus Chillan,-36.5997207,-72.0990929,Región del Ñuble,Chillán
Tottus El Trebol,-36.7910252,-73.0651322,Región del Bio Bío,Talcahuano
Tottus Los Angeles Mall,-37.4682978,-72.3525949,Región del Bio Bío,Los Ángeles
